"regulatoryGene"	"targetGene"	"weight"
"SLC16A5"	"MYH14"	0.00354777371553496
"HIST1H3A"	"EDIL3"	0.00354395899258212
"UBC"	"NODAL"	0.00353694123565327
"C12orf76"	"FNDC9"	0.00352931307937622
"COL4A2-AS1"	"HIST1H1E"	0.00352494050347577
"CRYAB"	"RAB13"	0.00352198876816162
"KIF1C"	"MYH14"	0.00351138200386336
"NBAS"	"KCNN2"	0.00351069888221296
"ENSG00000275120"	"PRSS12"	0.00351027346427247
"PRSS12"	"ENSG00000262500"	0.00350792390725968
"ENSG00000258741"	"DPY19L2P4"	0.00350398503751554
"ENSG00000197099"	"TAS2R30"	0.00349617474224661
"CRYAB"	"S100A13"	0.00348369369850728
"CGNL1"	"CYP17A1"	0.00347790621177645
"DNAJA3"	"SMIM28"	0.00347720456767309
"USP37"	"LGR5"	0.00347589864840205
"ENSG00000278212"	"EVX2"	0.00347389293634663
"MYH14"	"SLC2A10"	0.00344861539266476
"CRYAB"	"C5AR1"	0.00344310059138525
"LINC02427"	"NXPH3"	0.00343983621220636
"STRA6"	"ENSG00000238003"	0.00343790348275758
"MYL3"	"SNAI1"	0.00343270004866058
"RHOV"	"DPY19L2P4"	0.0034297616689171
"TAF15"	"ENSG00000274383"	0.00342087406789094
"MYH14"	"FBLN2"	0.00342063681885342
"ENSG00000269867"	"ENSG00000258172"	0.00340802133202763
"NXPH3"	"PRH1-PRR4"	0.0034077404308865
"PRSS12"	"MSRB2"	0.00340553025963444
"NR1I2"	"NBAS"	0.00340289440109858
"UBC"	"ENSG00000267890"	0.00340191344409238
"GADD45B"	"SIK1B"	0.00340168462204788
"HIC1"	"MAPK15"	0.00339983708383791
"ADCY4"	"MAPK15"	0.00339981314287529
"RMND5A"	"LGR5"	0.0033995078850844
"MYH14"	"CRISPLD1"	0.00338926074139962
"SBF2"	"LINC01410"	0.00338631492257204
"ENSG00000260252"	"LINC01410"	0.00338631492257204
"ENSG00000267667"	"AMIGO2"	0.00337928754684667
"AMIGO2"	"BAIAP3"	0.00337641391573523
"MYH14"	"CMYA5"	0.00337368784946105
"NHLH2"	"LINC01091"	0.00337347696088606
"GRIN3A"	"ENSG00000261447"	0.00337133280435023
"NPFFR2"	"FNDC9"	0.00336984382257707
"HS3ST5"	"ZNF843"	0.0033678089902129
"WRB"	"NXPH3"	0.00336731668422676
"UBC"	"SCARNA7"	0.00336358840240247
"PAXX"	"MEG9"	0.00336332429032743
"SIK1B"	"KLF4"	0.00336020888898622
"LMNB2"	"NXPH3"	0.00335662364143209
"DHODH"	"MEG9"	0.00335562456636061
"ENSG00000239556"	"MEG9"	0.0033556189720748
"ENSG00000257225"	"MEG9"	0.0033556189720748
"ENSG00000270020"	"MEG9"	0.0033556189720748
"ENSG00000280169"	"ENSG00000253347"	0.00335365686491127
"ZNF32-AS1"	"ENSG00000269867"	0.00335059999996076
"ENSG00000176716"	"RS1"	0.00334171622615357
"ENSG00000232587"	"EVX2"	0.00334123102139113
"CMYA5"	"UST"	0.00333846466542821
"GRAP"	"ENSG00000253347"	0.00333670667561847
"POLR3E"	"LINC01410"	0.00333410998431123
"ENSG00000227733"	"DPY19L2P4"	0.00333153422663114
"CFL1"	"EVX2"	0.00333056947855068
"LRRTM3"	"SLC24A2"	0.00333038735097556
"ENSG00000280721"	"SIK1B"	0.00332955550752089
"ENSG00000270532"	"CYP17A1"	0.00332895419764236
"KDELR3"	"CMYA5"	0.00332748873703199
"ENSG00000250474"	"CMYA5"	0.00332748873703199
"PCNT"	"MEG9"	0.00332689741816303
"MCEE"	"ENSG00000274383"	0.00332629369580393
"ENSG00000260038"	"ENSG00000274383"	0.00332629369580393
"PLEK2"	"UBC"	0.00332624546455063
"LINC01410"	"ENSG00000249863"	0.00332257407027731
"PRSS12"	"SHB"	0.00332186035365658
"NBAS"	"SUSD5"	0.00331866082313341
"JAM2"	"CMYA5"	0.00331621124467207
"ENSG00000211670"	"SIK1B"	0.00330407749346197
"SLC12A5"	"FNDC9"	0.00330405453656475
"CASQ2"	"ENSG00000237857"	0.0033018705661255
"MEG9"	"ENSG00000223414"	0.00329764075207574
"AMIGO2"	"ENSG00000231848"	0.00329662314606066
"GRIN3A"	"NEFM"	0.00329593894683484
"ENSG00000261079"	"CRYAB"	0.00329556639361942
"FNDC9"	"CPEB4"	0.00328785666262561
"SNTG1"	"ENSG00000261888"	0.00328625344538984
"MAPK15"	"GRPEL2-AS1"	0.00328578278012574
"ENSG00000233830"	"CYP17A1"	0.00328563056491451
"POU6F2"	"NRK"	0.00328511484421918
"DPY19L2P4"	"OGFOD1"	0.00328376052216675
"PEAR1"	"MYL3"	0.00327861833609111
"ARL2"	"PRSS12"	0.00327661521929696
"MMP24"	"ENSG00000261888"	0.00327133969283599
"ATF7IP"	"EDIL3"	0.00326350943886274
"LGR5"	"GPAT2"	0.00326247855588141
"ZNF74"	"RTL1"	0.0032555766051121
"ENSG00000218283"	"RTL1"	0.0032555766051121
"MYH14"	"FIBIN"	0.00325293451797816
"NXPH3"	"ENSG00000227337"	0.00323845148707751
"HOXD10"	"PTRH1"	0.00323455846103259
"AMIGO2"	"PPP5D1"	0.00322968472915548
"ADRA2C"	"DPY19L2P4"	0.00322815194489577
