"regulatoryGene"	"targetGene"	"weight"
"AASDH"	"LINC01410"	0.00434968243500742
"DPY19L2P4"	"NR5A1"	0.00434855018385562
"LINC01410"	"ENSG00000234345"	0.00434664005078985
"CMYA5"	"TMEM184B"	0.0043324688578316
"FAM83H"	"EDIL3"	0.00433164513672065
"NHLH2"	"ENSG00000259407"	0.00432699488920898
"HS3ST5"	"MRPL58"	0.0043119163325157
"UBC"	"KIF3C"	0.00430513743926342
"C16orf74"	"SMIM28"	0.00429928209388374
"DLG2"	"HOXD10"	0.0042899594843593
"CITED2"	"EDIL3"	0.00428719818352079
"UBC"	"ENSG00000258702"	0.0042787571167734
"LINC01410"	"ENSG00000237977"	0.00427094578537561
"BBS5"	"MAPK15"	0.00426955234641734
"PRDM4"	"GRIN3A"	0.0042573296640412
"MAPK15"	"ENSG00000236017"	0.00423156710123949
"ENSG00000271941"	"HOXD10"	0.00422826107016495
"RRAD"	"NXPH3"	0.00422208948278542
"AP3S2"	"GRIN3A"	0.00421820523533604
"FNDC9"	"ENSG00000255050"	0.0041948699838982
"FAM204A"	"UBC"	0.00418400780261366
"VSIG10"	"CYP17A1"	0.00418053204346188
"DPY19L2P4"	"LMNB1-DT"	0.00417999862315499
"SINHCAF"	"ENSG00000237857"	0.00417979197220071
"SEPTIN1"	"HOXD10"	0.00417795595739471
"MOCOS"	"CYP17A1"	0.00417262426182321
"TPD52L1"	"CYP17A1"	0.00417262426182321
"IFIT3"	"CYP17A1"	0.00417262426182321
"ACADS"	"CYP17A1"	0.00417262426182321
"MAPK13"	"CYP17A1"	0.00417262426182321
"TENT5B"	"CYP17A1"	0.00417262426182321
"PRKG1"	"CYP17A1"	0.00417262426182321
"ENSG00000272086"	"CYP17A1"	0.00417262426182321
"HS3ST5"	"ENSG00000248663"	0.00416659845189085
"POU6F2"	"ENSG00000279206"	0.00416228585840983
"ENSG00000272432"	"EVX2"	0.00415448980476933
"HOXD10"	"GLRA2"	0.00415212336525827
"STRA6"	"CSDC2"	0.00414746651370448
"ENSG00000236698"	"MYH14"	0.00414414943373093
"TEX15"	"NXPH3"	0.00412470773805647
"TNNC2"	"NXPH3"	0.00412361030493814
"SMIM28"	"SPIC"	0.00411791954851549
"SIK1B"	"ENSG00000277809"	0.00411671017285441
"ENSG00000211644"	"EVX2"	0.00411602323288486
"MAPK15"	"ENSG00000275807"	0.00411599960654771
"ENSG00000226070"	"HOXD10"	0.00410701500562904
"ENSG00000267048"	"RTL1"	0.0041048514898949
"CDK20"	"ENSG00000225527"	0.0041034672782642
"SIK1B"	"FOSB"	0.00409817451891691
"ENSG00000274220"	"POU6F2"	0.00409619855789037
"ENSG00000260114"	"MAPK15"	0.0040639996090462
"EVX2"	"COL4A6"	0.00405234123156866
"HIST1H1E"	"ENSG00000273014"	0.00403086548218024
"ENSG00000276691"	"RTL1"	0.00402424941274555
"EVX2"	"ENSG00000239855"	0.00402337259318369
"PLD5"	"HOXD10"	0.00402046242821056
"NDUFA5"	"HIST1H1E"	0.0040194308898968
"PRKAR1B"	"HIST1H1E"	0.0040194308898968
"KCNAB3"	"NXPH3"	0.00401523515377228
"ENSG00000274383"	"ENSG00000279923"	0.00401013425245018
"TCF7L2"	"SMIM28"	0.00400570323324229
"PMP2"	"MYH14"	0.0039997005487391
"NUMBL"	"STRA6"	0.00399936376505074
"PPP1R2"	"UBC"	0.00398769994780535
"UBE2J2"	"EVX2"	0.00398722987676813
"OGG1"	"LOC101927418"	0.00398632388099894
"CYP17A1"	"ZNF503-AS2"	0.0039707991851601
"MYL3"	"SDCBP2"	0.00396122620024598
"STRA6"	"LYPD6B"	0.00395969140773931
"PRLHR"	"HOXD10"	0.0039587360365857
"ENSG00000237550"	"FNDC9"	0.00395240060023794
"MAPK15"	"ENSG00000272717"	0.0039468904836918
"ENSG00000243466"	"EVX2"	0.00394586453959779
"ENSG00000280727"	"AACSP1"	0.00393792274235261
"TUG1"	"ENSG00000274383"	0.00393223958621484
"BOLA1"	"LRRTM3"	0.00392138079739532
"CYP17A1"	"TMSB4Y"	0.00391879538642425
"ENSG00000274383"	"LINC00506"	0.00391441841086547
"LRRC63"	"EVX2"	0.00390733968104443
"METTL2B"	"MEG9"	0.00390556273455233
"LOC101927418"	"ENSG00000278922"	0.00390257813107927
"ENSG00000260517"	"SMIM28"	0.00390092867468929
"ENSG00000272008"	"DPY19L2P4"	0.00389626525041657
"DNAI1"	"ENSG00000176716"	0.00389018713614468
"FNDC9"	"GFRA2"	0.00388947647130051
"MAPK15"	"RDH13"	0.00388664194858463
"ENSG00000271347"	"UBC"	0.00388576998848439
"SDC2"	"AMIGO2"	0.00388512879803005
"SMIM28"	"ENSG00000239855"	0.00387737503913312
"DPY19L2P4"	"ENSG00000275468"	0.00386805213578059
"KCNAB2"	"PRSS12"	0.00386801365624978
"LRRTM3"	"HMX2"	0.00386623794147915
"BCL11A"	"ENSG00000237857"	0.0038640236325914
"STRA6"	"ENSG00000272511"	0.00386284620140671
"MAPK15"	"TNNT1"	0.00385643307594121
"ENSG00000224934"	"ENSG00000225527"	0.00385614078481174
"ENSG00000269102"	"LGR5"	0.00385381435907793
"HLTF"	"ENSG00000225527"	0.00384965776673496
"ENSG00000274383"	"ENSG00000226007"	0.00384926748230633
"LZIC"	"GRIN3A"	0.00384661454284484
"UBL4A"	"LRRTM3"	0.00384097463246412
"IL21R"	"PRSS12"	0.00383171339094696
"LOC101927418"	"ENSG00000166492"	0.00382382931908325
"RTL1"	"MYO15B"	0.00382382300989795
"ENSG00000261888"	"ENSG00000274370"	0.00382246797534296
"SGK2"	"RTL1"	0.00382213594080764
