"regulatoryGene"	"targetGene"	"weight"
"GRIN3A"	"ENSG00000258590"	0.00520005729975897
"UBC"	"IGFL4"	0.00373316229535285
"IGFL4"	"FNDC9"	0.00356088728149492
"MYL3"	"ECHDC3"	0.00313715612546287
"UBC"	"ATP6V1G1"	0.00308349848531659
"NXPH3"	"ERN1"	0.00287759557968246
"MYL3"	"ERN1"	0.00284635857785237
"ATP6V1G1"	"STRA6"	0.00279433667749868
"IDNK"	"STRA6"	0.00279433667749868
"STRA6"	"ECHDC3"	0.00273708332899968
"UBC"	"IDNK"	0.00262897996876302
"CRYM"	"UBC"	0.00262445186610746
"MEG9"	"CRYM"	0.00256853817797649
"UBC"	"ENSG00000258590"	0.00252797382488175
"GRIN3A"	"KIF1B"	0.00251917793524026
